Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
0-19,0,Hasta 2,M,Invalidez
20-24,11,Hasta 2,M,Invalidez
25-29,87,Hasta 2,M,Invalidez
30-34,294,Hasta 2,M,Invalidez
35-39,608,Hasta 2,M,Invalidez
40-44,"1,164",Hasta 2,M,Invalidez
45-49,"2,369",Hasta 2,M,Invalidez
50-54,"4,810",Hasta 2,M,Invalidez
55-59,"7,613",Hasta 2,M,Invalidez
60-64,"9,161",Hasta 2,M,Invalidez
65-69,"7,414",Hasta 2,M,Invalidez
70-74,"4,427",Hasta 2,M,Invalidez
75-79,"2,679",Hasta 2,M,Invalidez
80-84,"1,446",Hasta 2,M,Invalidez
85-89,744,Hasta 2,M,Invalidez
90-94,244,Hasta 2,M,Invalidez
95-100,48,Hasta 2,M,Invalidez
100-104,5,Hasta 2,M,Invalidez
0-19,0,Hasta 2,F,Invalidez
20-24,5,Hasta 2,F,Invalidez
25-29,36,Hasta 2,F,Invalidez
30-34,143,Hasta 2,F,Invalidez
35-39,352,Hasta 2,F,Invalidez
40-44,769,Hasta 2,F,Invalidez
45-49,"1,599",Hasta 2,F,Invalidez
50-54,"3,400",Hasta 2,F,Invalidez
55-59,"5,061",Hasta 2,F,Invalidez
60-64,"5,566",Hasta 2,F,Invalidez
65-69,"3,770",Hasta 2,F,Invalidez
70-74,"2,851",Hasta 2,F,Invalidez
75-79,"1,461",Hasta 2,F,Invalidez
80-84,820,Hasta 2,F,Invalidez
85-89,395,Hasta 2,F,Invalidez
90-94,115,Hasta 2,F,Invalidez
95-100,32,Hasta 2,F,Invalidez
100-104,2,Hasta 2,F,Invalidez
0-19,0,Entre 2 y 4,M,Invalidez
20-24,0,Entre 2 y 4,M,Invalidez
25-29,1,Entre 2 y 4,M,Invalidez
30-34,6,Entre 2 y 4,M,Invalidez
35-39,17,Entre 2 y 4,M,Invalidez
40-44,35,Entre 2 y 4,M,Invalidez
45-49,71,Entre 2 y 4,M,Invalidez
50-54,191,Entre 2 y 4,M,Invalidez
55-59,392,Entre 2 y 4,M,Invalidez
60-64,450,Entre 2 y 4,M,Invalidez
65-69,140,Entre 2 y 4,M,Invalidez
70-74,60,Entre 2 y 4,M,Invalidez
75-79,29,Entre 2 y 4,M,Invalidez
80-84,22,Entre 2 y 4,M,Invalidez
85-89,8,Entre 2 y 4,M,Invalidez
90-94,3,Entre 2 y 4,M,Invalidez
95-100,0,Entre 2 y 4,M,Invalidez
100-104,0,Entre 2 y 4,M,Invalidez
0-19,0,Entre 2 y 4,F,Invalidez
20-24,0,Entre 2 y 4,F,Invalidez
25-29,0,Entre 2 y 4,F,Invalidez
30-34,3,Entre 2 y 4,F,Invalidez
35-39,8,Entre 2 y 4,F,Invalidez
40-44,21,Entre 2 y 4,F,Invalidez
45-49,51,Entre 2 y 4,F,Invalidez
50-54,118,Entre 2 y 4,F,Invalidez
55-59,132,Entre 2 y 4,F,Invalidez
60-64,50,Entre 2 y 4,F,Invalidez
65-69,42,Entre 2 y 4,F,Invalidez
70-74,14,Entre 2 y 4,F,Invalidez
75-79,6,Entre 2 y 4,F,Invalidez
80-84,3,Entre 2 y 4,F,Invalidez
85-89,0,Entre 2 y 4,F,Invalidez
90-94,0,Entre 2 y 4,F,Invalidez
95-100,0,Entre 2 y 4,F,Invalidez
100-104,1,Entre 2 y 4,F,Invalidez
0-19,0,Entre 4 y 7,M,Invalidez
20-24,0,Entre 4 y 7,M,Invalidez
25-29,0,Entre 4 y 7,M,Invalidez
30-34,0,Entre 4 y 7,M,Invalidez
35-39,2,Entre 4 y 7,M,Invalidez
40-44,7,Entre 4 y 7,M,Invalidez
45-49,20,Entre 4 y 7,M,Invalidez
50-54,80,Entre 4 y 7,M,Invalidez
55-59,285,Entre 4 y 7,M,Invalidez
60-64,221,Entre 4 y 7,M,Invalidez
65-69,37,Entre 4 y 7,M,Invalidez
70-74,10,Entre 4 y 7,M,Invalidez
75-79,4,Entre 4 y 7,M,Invalidez
