tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,1,1,5,+,22,12/31/2019 12:00:00 AM
4,205,1,1,10,+,0,12/31/2019 12:00:00 AM
4,205,1,1,15,-,0,12/31/2019 12:00:00 AM
4,205,1,2,5,+,22,12/31/2019 12:00:00 AM
4,205,1,3,5,+,273,12/31/2019 12:00:00 AM
4,205,2,1,5,+,8,12/31/2019 12:00:00 AM
4,205,2,1,10,+,0,12/31/2019 12:00:00 AM
4,205,2,1,15,-,0,12/31/2019 12:00:00 AM
4,205,2,2,5,+,8,12/31/2019 12:00:00 AM
4,205,2,3,5,+,45,12/31/2019 12:00:00 AM
4,205,3,1,5,+,"1,072",12/31/2019 12:00:00 AM
4,205,3,1,10,+,1,12/31/2019 12:00:00 AM
4,205,3,1,15,-,2,12/31/2019 12:00:00 AM
4,205,3,2,5,+,"1,071",12/31/2019 12:00:00 AM
4,205,3,3,5,+,"21,119",12/31/2019 12:00:00 AM
4,205,4,1,5,+,653,12/31/2019 12:00:00 AM
4,205,4,1,10,+,1,12/31/2019 12:00:00 AM
4,205,4,1,15,-,2,12/31/2019 12:00:00 AM
4,205,4,2,5,+,652,12/31/2019 12:00:00 AM
4,205,4,3,5,+,"7,010",12/31/2019 12:00:00 AM
4,205,5,1,5,+,83,12/31/2019 12:00:00 AM
4,205,5,1,10,+,0,12/31/2019 12:00:00 AM
4,205,5,1,20,+,0,12/31/2019 12:00:00 AM
4,205,5,1,25,-,1,12/31/2019 12:00:00 AM
4,205,5,2,5,+,82,12/31/2019 12:00:00 AM
4,205,5,3,5,+,859,12/31/2019 12:00:00 AM
4,205,6,1,5,+,539,12/31/2019 12:00:00 AM
4,205,6,1,10,+,0,12/31/2019 12:00:00 AM
4,205,6,1,20,+,3,12/31/2019 12:00:00 AM
4,205,6,1,25,-,1,12/31/2019 12:00:00 AM
4,205,6,2,5,+,541,12/31/2019 12:00:00 AM
4,205,6,3,5,+,"9,675",12/31/2019 12:00:00 AM
4,205,7,1,5,+,"2,377",12/31/2019 12:00:00 AM
4,205,7,1,10,+,2,12/31/2019 12:00:00 AM
