Departamento,Municipio,Cantidad
AMAZONAS,LETICIA,408
ANTIOQUIA,ABEJORRAL,148
ANTIOQUIA,ALEJANDRIA,14
ANTIOQUIA,AMAGA,512
ANTIOQUIA,AMALFI,32
ANTIOQUIA,ANDES,303
ANTIOQUIA,ANGELOPOLIS,43
ANTIOQUIA,ANGOSTURA,26
ANTIOQUIA,ANORI,11
ANTIOQUIA,ANZA,11
ANTIOQUIA,APARTADO,"2,073"
ANTIOQUIA,ARBOLETES,45
ANTIOQUIA,ARGELIA,9
ANTIOQUIA,ARMENIA,25
ANTIOQUIA,BARBOSA,"1,183"
ANTIOQUIA,BELLO,"20,116"
ANTIOQUIA,BETANIA,10
ANTIOQUIA,BETULIA,14
ANTIOQUIA,CAICEDO,7
ANTIOQUIA,CALDAS,"5,245"
ANTIOQUIA,CAMPAMENTO,26
ANTIOQUIA,CAÑASGORDAS,51
ANTIOQUIA,CARACOLI,17
ANTIOQUIA,CARAMANTA,17
ANTIOQUIA,CAREPA,354
ANTIOQUIA,CAROLINA,46
ANTIOQUIA,CAUCASIA,288
ANTIOQUIA,CHIGORODO,551
ANTIOQUIA,CISNEROS,89
ANTIOQUIA,CIUDAD BOLIVAR,93
ANTIOQUIA,COCORNA,56
ANTIOQUIA,CONCEPCION,22
ANTIOQUIA,CONCORDIA,55
ANTIOQUIA,COPACABANA,"3,939"
ANTIOQUIA,DABEIBA,34
ANTIOQUIA,DON MATIAS,164
ANTIOQUIA,EBEJICO,39
ANTIOQUIA,EL BAGRE,218
ANTIOQUIA,EL CARMEN DE VIBORAL,"1,721"
ANTIOQUIA,EL SANTUARIO,453
ANTIOQUIA,ENTRERRIOS,55
ANTIOQUIA,ENVIGADO,"13,289"
ANTIOQUIA,FREDONIA,401
ANTIOQUIA,FRONTINO,63
ANTIOQUIA,GIRARDOTA,"2,744"
ANTIOQUIA,GOMEZ PLATA,79
ANTIOQUIA,GRANADA,65
ANTIOQUIA,GUADALUPE,20
ANTIOQUIA,GUARNE,"1,379"
ANTIOQUIA,GUATAPE,4
ANTIOQUIA,HELICONIA,35
ANTIOQUIA,ITAGUI,"14,166"
ANTIOQUIA,ITUANGO,28
ANTIOQUIA,JARDIN,169
ANTIOQUIA,JERICO,108
ANTIOQUIA,LA CEJA,"3,069"
ANTIOQUIA,LA ESTRELLA,"1,349"
ANTIOQUIA,LA UNION,169
ANTIOQUIA,LIBORINA,44
ANTIOQUIA,MACEO,27
ANTIOQUIA,MARINILLA,"1,527"
ANTIOQUIA,MEDELLIN,"177,889"
ANTIOQUIA,MONTEBELLO,40
ANTIOQUIA,MUTATA,7
ANTIOQUIA,NARIÑO,17
ANTIOQUIA,NECHI,3
ANTIOQUIA,NECOCLI,43
ANTIOQUIA,PEÑOL,300
ANTIOQUIA,PEQUE,10
ANTIOQUIA,PUEBLORRICO,30
ANTIOQUIA,PUERTO BERRIO,309
ANTIOQUIA,PUERTO NARE,21
